studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Bv,415000000.0,652000000.0,Toy Story 3,2010-06-18,200000000.0,868879522.0,4.34439761,103.0,"['Adventure', 'Animation', 'Comedy']",8.3,682218,"[16, 10751, 35]",En,24.445,7.7,8340.0,2010,4.34439761,1067000000.0
Wb,292600000.0,535700000.0,Inception,2010-07-16,160000000.0,675524642.0,4.2220290125,148.0,"['Action', 'Adventure', 'Sci-Fi']",8.8,1841066,"[28, 878, 12]",En,27.92,8.3,22186.0,2010,4.2220290125,828300000.0
P/Dw,238700000.0,513900000.0,Shrek Forever After,2010-05-21,165000000.0,591244673.0,3.5833010484848486,93.0,"['Adventure', 'Animation', 'Comedy']",6.3,167532,"[35, 12, 14, 16, 10751]",En,15.041,6.1,3843.0,2010,3.5833010484848486,752600000.0
Sum.,300500000.0,398000000.0,The Twilight Saga: Eclipse,2010-06-30,68000000.0,638102828.0,9.383865117647058,124.0,"['Adventure', 'Drama', 'Fantasy']",5.0,211733,"[12, 14, 18, 10749]",En,20.34,6.0,4909.0,2010,9.383865117647058,698500000.0
Par.,312400000.0,311500000.0,Iron Man 2,2010-05-07,170000000.0,451156389.0,2.653861111764706,124.0,"['Action', 'Adventure', 'Sci-Fi']",7.0,657690,"[12, 28, 878]",En,28.515,6.8,12368.0,2010,2.653861111764706,623900000.0
Bv,200800000.0,391000000.0,Tangled,2010-11-24,260000000.0,326477240.0,1.2556816923076923,100.0,"['Adventure', 'Animation', 'Comedy']",7.8,366366,"[16, 10751]",En,21.511,7.5,6407.0,2010,1.2556816923076923,591800000.0
Uni.,251500000.0,291600000.0,Despicable Me,2010-07-09,69000000.0,474464573.0,6.87629815942029,95.0,"['Animation', 'Comedy', 'Family']",7.7,464511,"[16, 10751, 35]",En,23.673,7.2,10057.0,2010,6.87629815942029,543100000.0
P/Dw,217600000.0,277300000.0,How To Train Your Dragon,2010-03-26,165000000.0,329870992.0,1.9992181333333334,98.0,"['Action', 'Adventure', 'Animation']",8.1,611299,"[14, 12, 16, 10751]",En,28.734,7.7,7610.0,2010,1.9992181333333334,494900000.0
Fox,104400000.0,311300000.0,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,2010-12-10,155000000.0,263186950.0,1.6979803225806451,113.0,"['Adventure', 'Family', 'Fantasy']",6.3,129663,"[12, 10751, 14]",En,17.382,6.3,3196.0,2010,1.6979803225806451,415700000.0
Sony,176600000.0,182500000.0,The Karate Kid,2010-06-11,40000000.0,311774938.0,7.79437345,140.0,"['Action', 'Drama', 'Family']",6.2,146401,"[28, 12, 18, 10751]",En,12.256,6.3,3140.0,2010,7.79437345,359100000.0
